,Associate ,Status,Official Contact number,Facebook group,Related Clubs/Societies,Contact no. of Club/Society,FB Group of related societies,Misc. Info,Personally known people(Yes/No),Singla,Deepankar,Chinmay,Tanishq,Tanay,Yash,Srininvas
IIT Delhi,Dikshant,Everything is done peacefully,011 2659 7135,https://www.facebook.com/groups/105885712087/?ref=br_rs,Entrepreneurship Development Cell (EDC),"9950636002

Prabhat Kumar
Publicity and Public relations coordinator,
eDC","https://www.facebook.com/groups/105885712087/?ref=br_rshttps://www.facebook.com/iitd.delhi/?ref=br_rs
https://www.facebook.com/ecoclubiitd/?ref=br_rs
https://www.facebook.com/edciitdelhi/?ref=br_rs
https://www.facebook.com/groups/105885712087/?ref=br_rs",,Yes(tanay),,,,,1,,J
IMT-Ghaziabad,Dikshant,Talked to admin but pending,0120 300 2200,https://www.facebook.com/groups/2357593563/?ref=br_rs,Many,,"https://www.facebook.com/groups/780954855319412/?ref=br_rs, https://www.facebook.com/groups/ecell.imt/?ref=br_rs",,,,,,,,,
"Faculty of Management Studies, Delhi",Dikshant,Talked to admin but pending,011 2766 6383,https://www.facebook.com/groups/2694685505/?ref=br_rs,Many,,"https://www.facebook.com/groups/107818139257234/, ",,,,,,,,,
international maritime intitute,Dikshant,Everything is done peacefully,0120 232 6311,https://www.facebook.com/groups/253997867948235/?ref=br_rs,,,,,,,,,,,,
IP College For Women,Dikshant,Talked to admin but pending,011 2396 2009,https://www.facebook.com/groups/252995508072500/?ref=br_rs,"Arthagya, Enactus IPCW",,"https://www.facebook.com/arthagya?ref=br_rs, https://www.facebook.com/enactusipcw?fref=tshttps://www.facebook.com/arthagya/
https://www.facebook.com/enactusipcw/?ref=br_rs
https://www.facebook.com/groups/252995508072500/?ref=br_rs",,,,,,,,,
JSS Academy of Technical Education,Dikshant,Talked to admin but pending,0120 240 0115,https://www.facebook.com/groups/jssate.noida/,,,,,,,,,,,,J
Kirori Mal,Dikshant,Everything is done peacefully,011 2766 7861,https://www.facebook.com/groups/348017181946082/?ref=br_rs,The Commerce Society,,https://www.facebook.com/comsoc.kmc/,,,,,,,,,J
Post,Dikshant,Everything is done peacefully,011 6564 7742,https://www.facebook.com/groups/maitforall/?ref=br_rs,,,,,,,,,,,,
MDI Gurgaon,Dikshant,Talked to admin but pending,1244560000,https://www.facebook.com/groups/438942840081/,"Strategist, Opsession",,https://www.facebook.com/groups/674846575960035/,,,,,,,,,
Netaji Subhas Institute of Technology,Dikshant,Talked to admin but pending,011 2509 9050,https://www.facebook.com/groups/FESNSIT,"Enactus, E-Cell",,,,,,,,,,,
Pearl Academy Delhi,Aryansh,Page,011 4980 7100,,,,,,,,,,,,,
"Schools of Planning and Architecture, New Delhi",Aryansh,Pending,011 2370 2376,https://www.facebook.com/groups/schoolofplanningandarchitecture/,,,,,,,,,,,,
Shri Ram College of Commerce (SRCC),Aryansh,Joined group,011 2766 7905,https://www.facebook.com/groups/srcc.smilyo/,"Marketing Society, Economics Society, SRCC GBO Finance Society, Entrepreneurship Development Cell, SRCC, Finance And Investment Cell - SRCC

",,"https://www.facebook.com/groups/184271238370706/?ref=br_rs, https://www.facebook.com/marketingsocietysrcc?ref=br_rs ; The Economics Society , SRCC - Research And Editoral Wing 2014-15, https://www.facebook.com/ecosoc.srcc/info/?tab=page_info; https://www.facebook.com/180DCSRCC/?ref=br_rs
https://www.facebook.com/edcsrcc/
https://www.facebook.com/fic.srcc/
https://www.facebook.com/comsocsrcc/
https://www.facebook.com/ecosoc.srcc/
https://www.facebook.com/TheIdeationCellSRCC/?ref=br_rs
https://www.facebook.com/dstreetsrcc/?ref=br_rs
https://www.facebook.com/icai.org/timeline, https://www.facebook.com/marketingsocietysrcc/?ref=br_rs",,Yes(tanay),,,,,1,,J
The Institute of Chartered Accountants of India,Karan,Everything has been done peacefully,033 3084 0203,https://www.facebook.com/icai.org/timeline,,,https://www.facebook.com/groups/203164800252445/,,,,,,,,,(page)sent message requesting them to publish our post
"Hansraj College, New Delhi",Karan,Everything is done peacefully,011 2766 7458,https://www.facebook.com/groups/hansrajcollege/?fref=ts,"Economics Society, E Cell",,,,,,,,,,,J
Miranda,Karan,Talked to admin but pending(inactive group),011 2766 6983,https://www.facebook.com/groups/308300462667104/,arthashastra(economic society),,https://www.facebook.com/arthashastra.ecosoc.mh?fref=ts,,,,,,"Contacted VP of Miranda House, (not interested)",,,
LSR,Karan,Page,011 2643 4459,https://www.facebook.com/pages/Lady-Shri-Ram-College-for-Women/112556688755302,Enactus,,https://www.facebook.com/EnactusLsr,,,,,,,,,
ABES engineering college,Dikshant,Page,0120 713 5112,https://www.facebook.com/abes.ecell/,,,,,,,,,,,,
Stephen's,Karan,Everything has been done peacefully,011 2766 7271,https://www.facebook.com/pages/St-Stephens-College-Delhi/107588445937552,Finance and Investment Cell,,https://www.facebook.com/fni.ssc?fref=pb&hc_location=profile_browser    ,,,,,,,,,
international maritime intitute,avyukt,Bakwaas College - No Group or page on which we could post,0120 232 6311,https://www.facebook.com/groups/253997867948235/,,,,,,,,,,,,
Jindal Global Business School,Dikshant,Page,"91-130-3057800, 3057801,",https://www.facebook.com/JindalGBS/,,,,,,,,,,,,
USIT,avyukt,Bakwaas College - No Group or page on which we could post,,https://www.facebook.com/ipu.ac.in/timeline,,,,,,,,,,,,(page)sent message requesting them to publish our post
IIIT Delhi,Dikshant,Everything is done peacefully,011 2690 7400,https://www.facebook.com/groups/iiitdelhi/,e-cell,"Yash Gupta      7404343895
Sanchit Mittal        9810725811","https://www.facebook.com/I3C.IIITD/
https://www.facebook.com/ECell.IIITD/",,,,,,,,,
Saraswati Institute of Technology,avyukt,Pending,,https://www.facebook.com/groups/159320377421557/members/,,,,,,,,,,,,
Hindu College,Karan,Page,011-27667184,https://www.facebook.com/pages/Hindu-College-University-of-Delhi/112358098776118?ref=ts&fref=ts,,,,,,,,,,,,
Jesus & Mary College,Aryansh,Joined,,https://www.facebook.com/Jesus-and-Mary-College-University-of-Delhi-166930333404150/,,,,,,,,,,,,
Venkatesawara College,Aryansh,Pending,011 2411 2196,https://www.facebook.com/groups/162993940232/,,,,,,,,,,,,
"Gargi College, Delhi",Karan,Page,011 - 26494544,https://www.facebook.com/Gargi-College-Student-Portal-1430411847228731/?ref=ts,,,https://www.facebook.com/groups/150927021710444/,,,,,,,,,
Ramjas College,Aryansh,Page,(91 11) 27667706,https://www.facebook.com/ramjascollegedu?ref=ts&fref=ts,,,,,,,,,,,,
"University School of Information and Communication Technology, Delhi",Aryansh,Page,,https://www.facebook.com/pages/University-School-of-Information-and-Communication-Technology/104400046301062?fref=ts,,,,,,,,,,,,
"Jamia Millia Islamia, New Delhi",Karan,Everything has been done peacefully,011 2698 1717,https://m.facebook.com/groups/165220510338972,,,"https://www.facebook.com/groups/jamiamilliaislamiadelhi/?notif_id=1575816438093026&notif_t=group_r2j_approved , ",,,,,,,,,J
"Indraprastha Institute of Information Technology, Delhi",Karan,Page,1123954085,https://www.facebook.com/Indraprastha-College-For-Women-INFO-2015-16-1616832085209748/?ref=ts,,,,,,,,,,,,
"National Power Training Institute, New Delhi",Dikshant,Page,,https://www.facebook.com/pages/National-Power-Training-Institute/109302235754929?ref=br_rs&qsefr=1,,,,,,,,,,,,
"Ambedkar Institute of Advanced Communication Technologies and Research, Delhi",avyukt,Bakwaas College - No Group or page on which we could post,011 2204 8045,https://www.facebook.com/pages/Ambedkar-Institute-of-Advanced-Communication-Technologies-and-Research/305782719447002?ref=ts&fref=ts,,,,,,,,,,,,
IIM Kashipur,Aryansh,Page,"05947-262174,262176,262116","https://www.facebook.com/ecell.iim.kashipur/?ref=br_rs
https://www.facebook.com/thefinanceclubksp/?ref=br_rs
https://www.facebook.com/OnYourMarkClub/?ref=br_rs
https://www.facebook.com/OSMClubIIM/?ref=br_rs
https://www.facebook.com/thefinanceclubksp/?ref=br_rs
https://www.facebook.com/ConsultingClubIIMKashipur/?ref=br_rs","CONSILIUM | Consulting & Strategy Club, EVOLVE | Entrepreneurship Cell, FINANCE CLUB, OSM | Operations Club
, OnYourMark | Marketing Club
, 


",,"https://www.facebook.com/groups//276945629017819, https://www.facebook.com/groups/831877016846946/, ",,,,,,,,,
"Indira Gandhi Institute of Technology, Delhi",Aryansh,Page,9999553798,https://www.facebook.com/Igdtu/?eid=ARAEzNbTRdxPAhZv47ZdH18Zv5avboF8BuvpwFfyP9vcFuLglKP3MXMVr6F8go4lmmDSq2UHtpIquYm9,EDC,,,,,,,,,,,
"GB Pant Government Engineering College, Delhi",avyukt,Everything is done peacefully,"11-26382314, info@gbpec.edu.in",https://www.facebook.com/GbPantGovernmentEngineeringCollegeNewDelhi?ref=ts&fref=ts,,,,,,,,,,,,
"Guru Teg Bahadur Institute of Technology, Delhi",Dikshant,Talked to admin but pending,11 45599900,https://www.facebook.com/groups/gtbit.updates/,,,,,,,,,,,,
"Maharaja Surajmal Institute of Technology, Delhi",avyukt,Bakwaas College - No Group or page on which we could post,011-25552667,https://www.facebook.com/pages/Maharaja-Surajmal-Institute-of-Technology/115948048453511?ref=ts&fref=ts,,,,,,,,,,,,
"CH Brahm Prakash Government Engineering College, Delhi",avyukt,Talked to admin but pending,011 2531 8161,https://www.facebook.com/Ch-Brahm-Prakash-Government-Engineering-College-Delhi-213849601961737/?ref=ts,,,,,,,,,,,,
"Bhagwan Parshuram Institute of Technology, Delhi",avyukt,Bakwaas College - No Group or page on which we could post,"011 - 27572900 , 27571080",https://m.facebook.com/profile.php?id=219796131498842,E CELL,,https://www.facebook.com/groups/ecellbpit/,,,,,,,,,
"HMR Institute of Technology and Management, Delhi",avyukt,Bakwaas College - No Group or page on which we could post,11-27724114-18,"https://m.facebook.com/groups/493655677437506, ",,,,,,,,,,,,
"Northern India Engineering College, Delhi",avyukt,Everything is done peacefully,"11) 39905900-99, 32526261-64, 22854321",https://www.facebook.com/groups/niec07/?fref=ts,,,,,,,,,,,,
"Bharati Vidyapeeth’s College of Engineering, Delhi",Aryansh,Page,011-25278444/25278443,https://www.facebook.com/Bharati-Vidyapeeths-College-of-Engineering-GGSIPU-135445053133519/,EDC,,,,,,,,,,,
Atma Ram Sanatan Dharma College,avyukt,Bakwaas College - No Group or page on which we could post,"011-24113436, 24117508",https://www.facebook.com/pages/Atma-Ram-Sanatan-Dharma-College/111765955506625?ref=br_rs,,,,,,,,,,,,J
Bhim Rao Ambedkar College,avyukt,Bakwaas College - No Group or page on which we could post,11-22814126,https://www.facebook.com/pages/Bhim-Rao-Ambedkar-College/105547526145896,,,,,,,,,,,,
Bharati College,avyukt,Bakwaas College - No Group or page on which we could post,"011-43273000

",https://www.facebook.com/pages/Bharti-College/131805266853177,Vanijya Samiti- The Commerce Society,vanijya.samiti1@gmail.com,https://www.facebook.com/vanijyasamiti/,,,,,,,,,
Chanderprabhu Jain College of Higher Studies & School of Law,avyukt,Page,"9717688444, 9711339951 ",https://www.facebook.com/Chanderprabhu-Jain-College-of-Higher-Studies-School-of-Law-1585727151691533/?ref=br_rs,,,,,,,,,,,,
College Of Vocational Studies,Aryansh,Joined,"29258544, 29258792
",https://www.facebook.com/groups/collegeofvocationalstudies/,"Finance and Investment Cell, ECONOX",,"https://www.facebook.com/CollegeOfVocationalstudies5?ref=br_rs, https://www.facebook.com/econoxcvs",,,,,,,,,
Daulat Ram College,Karan,Talked to admin but pending,"011 2766 7863
",https://www.facebook.com/pages/Daulat-Ram-College/105586502808507?ref=br_rs,Commerce Deptt.,,https://www.facebook.com/groups/141762725890088/?ref=br_rs,,,,,,,,,
Delhi College of Arts & Commerce,Karan,Everything has been done peacefully,011 24109821,https://www.facebook.com/groups/670782206304644/?ref=br_rs,"Vyapaar - Entrepreneurship Cell, Comania-Commerce Society, Mercado: The Marketing Society, Ecolibrium- The Economics Society, ENACTUS",,"https://www.facebook.com/ecell.dcac?ref=br_rs, https://www.facebook.com/comaniadcac?ref=br_rs, https://www.facebook.com/tmsDCAC?ref=br_rs, https://www.facebook.com/groups/166956993500380/?ref=br_rs, https://www.facebook.com/groups/335264583244685/?ref=br_rs",,,,,,,,,J
Deshbandhu College,avyukt,Bakwaas College - No Group or page on which we could post,,www.facebook.com/Deshbandhu-CollegeDelhi-University-DBCDU-227622993925043 GROUP- https://www.facebook.com/groups/200601853295879/,,,,,,,,,,,,
Deen Dayal Upadhyaya College,avyukt,Page,,"https://www.facebook.com/DDUCollege.DU, https://www.facebook.com/edu.dduc  GROUP- https://www.facebook.com/groups/293057167375792/",,,,,,,,,,,,
Dyal Singh College,Karan,Talked to admin but pending,,https://www.facebook.com/DYAL-SINGH-Collegedulodhi-ROAD-374038942703961/,,,https://facebook.com/groups/135104283175531,,,,,,,,,
Gargi College,Karan,Page,,https://www.facebook.com/gargicollege,,,,,,,,,,,,
Guru Nanak Dev Khalsa College,Dikshant ,Talked to admin but pending,,https://www.facebook.com/Vanaj.Khalsa/,commerce society,,https://www.facebook.com/Vanaj.Khalsa/,,,,,,,,,
Hans Raj College,Karan,Everything has been done peacefully,,https://m.facebook.com/hrcdurp,finance cell,,https://m.facebook.com/enactushansraj,,,,,,,,,
Hindu College,Karan,Talked to admin but pending,,"https://www.facebook.com/hinducollege   ,   https://www.facebook.com/groups/476524285225/",commerce department,,"https://m.facebook.com/comsochindu   ,    https://www.facebook.com/groups/155873577762660/",,,,,,,,,J
Indraprastha College For Women,Dikshant ,Talked to admin but pending,,"https://facebook.com/pages/Indraprastha-College-for-Women/127912003929574   ,  https://www.facebook.com/groups/252995508072500/",,,,,,,,,,,,
Janki Devi Memorial College,avyukt,Bakwaas College - No Group or page on which we could post,,https://facebook.com/pages/Janki-Devi-Memorial-College/356795191152458,,,,,,,,,,,,
Jesus and Mary College,Aryansh,Joined,,https://www.facebook.com/Jesus-and-Mary-College-University-of-Delhi-166930333404150,e cell,,,,,,,,,,,
Kalindi College,avyukt,Talked to admin but pending,,"https://www.facebook.com/pages/Kalindi-College/123155314394064     ,     https://www.facebook.com/groups/292802507398034/",,,,,,,,,,,,
Kamla Nehru College,Karan,Talked to admin but pending,,https://www.facebook.com/groups/199652916744177 ,commerce society,,https://www.facebook.com/CommerceSociety.KamalaNehruCollege,,,,,,,,,
Lady Irwin College,avyukt,Talked to admin but pending,,https://www.facebook.com/LadyIrwinCollege?rf=131582116874260/,,,,,,,,,,,,
Lady Shri Ram College For Women,Karan,Page,,https://www.facebook.com/pages/Lady-Shri-Ram-College-for-Women/112556688755302/,,,,,,,,,,,1,
Maharaja Agrasen College,Karan,Everything has been done peacefully,,https://www.facebook.com/Maharaja.Agrasen.College.MAC,,,,,,,,,,,,
Maitreyi College,Aryansh,Page,,https://www.facebook.com/pages/Maitreyi-College/109348135749473,economics society,,https://www.facebook.com/Ekonomiska,,,,,,,,,
Mata Sundri College For Women,Dikshant,Talked to admin but pending,,https://www.facebook.com/Mata-Sundri-CollegeDelhi-University-302041873181290/,,,https://www.facebook.com/vanijyasamiti,,,,,,,,,
Moti Lal Nehru College,Karan,Everything has been done peacefully,,https://www.facebook.com/Motilal-Nehru-College-Delhi-University-252511218095934/,,,,,,,,,,,,
P.G.D.A.V College,Dikshant,Joined,,https://www.facebook.com/groups/pgdav.du/,,,,,,,,,,,,
Rajdhani College,Karan,Talked to admin but pending,,https://www.facebook.com/groups/326619107450120/,,,,,,,,,,,,
Shaheed Rajguru College of Applied Sciences for Women,avyukt,Bakwaas College - No Group or page on which we could post,,https://www.facebook.com/ShaheedRajguruCollegeOfAppliedScienceForWomen/,,,,,,,,,,,,
Satyawati College,avyukt,Bakwaas College - No Group or page on which we could post,,,,,,,,,,,,,,
Satyawati Evening College,avyukt,Bakwaas College - No Group or page on which we could post,,,,,,,,,,,,,,
School of Open Learning(Delhi University),avyukt,Bakwaas College - No Group or page on which we could post,,,,,,,,,,,,,,
Shaheed Bhagat Singh College,Dikshant,Talked to admin but pending,comsoc.sbsc@gmail.com,https://www.facebook.com/comsoc.SBSC/,Comsoc,,,,,,,,,,,
Shaheed Bhagat Singh College (Evening),Dikshant,Talked to admin but pending,,https://www.facebook.com/comsoc.SBSC/,,,,,,,,,,,,
Shivaji College,Dikshant,Talked to admin but pending,,https://www.facebook.com/KaizenShivaji/,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,
Shyam Lal College (SLC),avyukt,Everything has been done peacefully,,https://www.facebook.com/groups/233014486801571/,,,,,,,,,,,,
Shyama Prasad Mukherji College,avyukt,Talked to admin but pending,,https://www.facebook.com/groups/1453094768257367/,,,,,,,,,,,,
Sri Aurobindo College,avyukt,Talked to admin but pending,,https://www.facebook.com/groups/1424899617740447/,,,,,,,,,,,,
Sri Aurobindo College (Evening),avyukt,Talked to admin but pending,,,,,,,,,,,,,,
Sri Guru Gobind Singh College of Commerce,avyukt,Everything has been done peacefully,,https://www.facebook.com/groups/sggscc.alumni/,,,,,,,,,,,,J
Sri Guru Tegh Bahadur Khalsa College,avyukt,Everything has been done peacefully,,https://www.facebook.com/groups/sgtbk/,,,,,,,,,,,,
St Stephen's College,Karan,Everything has been done peacefully,,https://www.facebook.com/groups/Globalstephanians/,,,,,,,,,,,,
Swami Shraddhanand College,avyukt,Everything has been done peacefully,,https://www.facebook.com/groups/216081421919604/,,,,,,,,,,,,
Vivekanand College,avyukt,Bakwaas College - No Group or page on which we could post,,https://www.facebook.com/swamivivekanandcollege.net,,,,,,,,,,,,
Zakir Hussain College,Dikshant,Talked to admin but pending,,"https://www.facebook.com/groups/434255836598169/
https://www.facebook.com/zhdcecomsoc/",,,,,,,,,,,,
maharaja agrasen institute of management studies,avyukt,Talked to admin but pending,,https://www.facebook.com/MAIMSDelhi?ref=ts&fref=ts,,,,,,,,,,,,
aryabhatta institute of engineering and management,avyukt,Talked to admin but pending,,https://www.facebook.com/groups/186318764742698/,,,,,,,,,,,,J
kirorimal college of engineering,Karan,Everything has been done peacefully,,https://www.facebook.com/groups/kirorians/,,,,,,,,,,,,J
fortune institute of international management,avyukt,Everything has been done peacefully,,https://www.facebook.com/groups/125419364183365/,,,,,,,,,,,,J
,,,,,,,,,,,,,,,,J
Tula's Institute the engineering and management college,avyukt,Talked to admin but pending,,https://www.facebook.com/groups/393788637355816/,,,,,,,,,,,,J
"BITS Pilani, Pilani Campus",Aryansh,Joined,,https://www.facebook.com/groups/BITSPilani.PilaniCampus/,,,,,,,,,,,,J
DTU Interactive Forum,avyukt,Talked to admin but pending,,https://www.facebook.com/groups/dtuforum/?ref=br_rs,,,,,,,,,,,,J
NIT Uttarakhand Information Portal,avyukt,Talked to admin but pending,,https://www.facebook.com/groups/681413378615585/,,,,,,,,,,,,J
REC,avyukt,Talked to admin but pending,,https://www.facebook.com/groups/326619107450120/,,,,,,,,,,,,J
"IIT Dhanbad, IIT ISM Dhanbad",Aryansh,Joined,,https://www.facebook.com/groups/IITISMDhanbad/,,,,,,,,,,,,J
DSE,Karan,Page,,"https://www.facebook.com/share4dse/
https://www.facebook.com/mib.dse/?ref=br_rs
https://www.facebook.com/delhibusinessschool/?ref=br_rs",,,,,,,,,,,,
IIT mandi,Aryansh,Pending,,https://www.facebook.com/groups/iitmandi.nb/,,,,,,,,,,,,J
IIT roorkee,Karan,Everything has been done peacefully,,https://www.facebook.com/groups/1843046282586976/              ,,,,,,,,,,,,J
,,,,    https://www.facebook.com/groups/IITRoorkeeJEE/,,,,,,,,,,,1,
s.g.t.b khalsa college  (du),Aryansh,Joined,,https://www.facebook.com/groups/sgtbk/about/,,,,,,,,,,,,J
,,,,,,,,,,,,,,,,J
college of engineering roorkee(COER),avyukt,Everything has been done peacefully,,https://www.facebook.com/groups/159238784092259/,,,,,,,,,,,,J
ramanujan college (kalakaji),Karan,Everything has been done peacefully,,https://www.facebook.com/groups/ramanujan.du/,,,,,,,,,,,,J
shiv nadar university,Karan,Everything has been done peacefully,,"https://www.facebook.com/groups/397884703600527/ , https://www.facebook.com/groups/472332029614996/",,,,,,,,,,,,J
nit jalandhar information portal,Dikshant,Talked to admin but pending,,https://www.facebook.com/groups/280471088804179/,,,,,,,,,,,1,
aligarh muslim university,Karan,Everything has been done peacefully,,https://www.facebook.com/groups/AMUtoday/,,,,,,,,,,,1,
guru nanak dev college,Dikshant,Talked to admin but pending,,https://www.facebook.com/ecellgndec/,,,,,,,,,,,1,
Groups sent Requests To( Previous Data Ignore),,,,,,,,,,,,,,,,
"IIIt D
",,,,https://www.facebook.com/groups/LitSoc.IIITD/,,,,,,,,,,,,
,,,,https://www.facebook.com/groups/iiitdelhi/,,,,,,,,,,,,
,,,,https://www.facebook.com/groups/doms.iitr/,,,,,,,,,,,,
,,,,https://www.facebook.com/groups/1843046282586976/,,,,,,,,,,,,
,,,,https://www.facebook.com/groups/iitmandi.nb/,,,,,,,,,,,,
,,,,https://www.facebook.com/groups/edlsiitmandi/,,,,,,,,,,,,
dtu,,,,https://www.facebook.com/groups/220496004664898/,,,,,,,,,,,,
,,,,https://www.facebook.com/groups/502660773079623/,,,,,,,,,,,,
SASTRA university,,,,https://www.facebook.com/groups/sastrauniversaldb/,,,,,,,,,,,,
IIIT allahabad,,,,https://www.facebook.com/groups/192293011641790/,,,,,,,,,,,,
,,,,https://www.facebook.com/groups/155213764606014/,,,,,,,,,,,,
nit bhopal,,,,https://www.facebook.com/groups/240462849304821/,,,,,,,,,,,,
,,,,https://www.facebook.com/groups/rbr.manit/,,,,,,,,,,,,
IIT kanpur,,,,https://www.facebook.com/groups/IITKanpurJEE/,,,,,,,,,,,,
IIT guwahati,,,,https://www.facebook.com/groups/1402272670092457/,,,,,,,,,,,,
IIT dhanbad,,,,https://www.facebook.com/groups/IITISMDhanbad/,,,,,,,,,,,,
college of engineering,,,,https://www.facebook.com/groups/159238784092259/,,,,,,,,,,,,
srcc,,,,https://www.facebook.com/groups/srcc.smilyo/,,,,,,,,,,,,
Jamia Millia islamia,,,,https://m.facebook.com/groups/165220510338972,,,,,,,,,,,,
IIM kashipur,,,,https://www.facebook.com/groups/405563749494134/,,,,,,,,,,,,
graphic era university,,,,https://www.facebook.com/groups/geu.doon/,,,,,,,,,,,,
nit uttrakhand,,,,https://www.facebook.com/groups/681413378615585/,,,,,,,,,,,,
,,,,https://www.facebook.com/groups/261955910503296/,,,,,,,,,,,,
Roorkee institute of technology,,,,https://www.facebook.com/groups/301907676583815/,,,,,,,,,,,,
Birla institute of applied sciences,,,,https://www.facebook.com/groups/116673218440755/,,,,,,,,,,,,
Tula institute,,,,https://www.facebook.com/groups/393788637355816/,,,,,,,,,,,,
baba Banda Singh bahadur engineering college,,,,https://www.facebook.com/groups/107628622668200/,,,,,,,,,,,,
IIT ropar,,,,https://www.facebook.com/groups/IITRopar/,,,,,,,,,,,,
nit Hamirpur,,,,https://www.facebook.com/groups/2212502736/,,,,,,,,,,,,
bits pilani,,,,https://www.facebook.com/groups/BITSPilani.PilaniCampus/,,,,,,,,,,,,
hindu college,,,,https://www.facebook.com/groups/hinduites/,,,,,,,,,,,,
FIIB,,,,https://www.facebook.com/groups/125419364183365/,,,,,,,,,,,,
IMT-Ghaziabad,,,,https://www.facebook.com/groups/2357593563/?ref=br_rs,,,,,,,,,,,,
"Faculty of Management Studies, Delhi",,,,https://www.facebook.com/groups/2694685505/?ref=br_rs,,,,,,,,,,,,
international maritime intitute,,,,https://www.facebook.com/groups/253997867948235/?ref=br_rs,,,,,,,,,,,,
IP College For Women,,,,https://www.facebook.com/groups/252995508072500/?ref=br_rs,,,,,,,,,,,,
JSS Academy of Technical Education,,,,https://www.facebook.com/groups/jssate.noida/,,,,,,,,,,,,
Netaji Subhas Institute of Technology,,,,https://www.facebook.com/groups/131902340242578/,,,,,,,,,,,,
"Schools of Planning and Architecture, New Delhi",,,,https://www.facebook.com/groups/schoolofplanningandarchitecture/,,,,,,,,,,,,
Shri Ram College of Commerce (SRCC),,,,https://www.facebook.com/groups/srcc.smilyo/,,,,,,,,,,,,
"Hansraj College, New Delhi",,,,https://www.facebook.com/groups/hansrajcollege/?fref=ts,,,,,,,,,,,,
Miranda,,,,https://www.facebook.com/groups/308300462667104/,,,,,,,,,,,,
ABES engineering college,,,,https://www.facebook.com/pages/ABES-Engineering-College/182829875173511?ref=ts&fref=ts,,,,,,,,,,,,
Stephen's,,,,https://www.facebook.com/pages/St-Stephens-College-Delhi/107588445937552,,,,,,,,,,,,
international maritime intitute,,,,https://www.facebook.com/groups/253997867948235/,,,,,,,,,,,,
Saraswati Institute of Technology,,,,https://www.facebook.com/groups/159320377421557/members/,,,,,,,,,,,,
Hindu College,,,,https://www.facebook.com/pages/Hindu-College-University-of-Delhi/112358098776118?ref=ts&fref=ts,,,,,,,,,,,,
"Gargi College, Delhi",,,,https://www.facebook.com/Gargi-College-Student-Portal-1430411847228731/?ref=ts,,,,,,,,,,,,
"Maharaja Surajmal Institute of Technology, Delhi",,,,https://www.facebook.com/pages/Maharaja-Surajmal-Institute-of-Technology/115948048453511?ref=ts&fref=ts,,,,,,,,,,,,
"Bhagwan Parshuram Institute of Technology, Delhi",,,,https://m.facebook.com/profile.php?id=219796131498842,,,,,,,,,,,,
"Northern India Engineering College, Delhi",,,,https://www.facebook.com/groups/niec07/?fref=ts,,,,,,,,,,,,
Bhim Rao Ambedkar College,,,,https://www.facebook.com/pages/Bhim-Rao-Ambedkar-College/105547526145896,,,,,,,,,,,,
Bharati College,,,,https://www.facebook.com/pages/Bharti-College/131805266853177,,,,,,,,,,,,
College Of Vocational Studies,,,,https://www.facebook.com/groups/collegeofvocationalstudies/,,,,,,,,,,,,
